name,fdc_id,calories_kcal,protein_g,carb_g,fat_g
COCONUT,1944546,,6.67,26.67,66.67
"Pear, raw",2709254,,0.37,15.2,0.15
Pear nectar,2709349,,0.11,15.8,0.01
"Pear, dried",2709208,,1.87,69.7,0.63
Artichoke dip,2705782,,3.86,5.78,32.7
Artichoke,2709766,,2.89,12.0,0.34
ARTICHOKE,2065531,,1.67,3.33,6.67
Leeks,2709935,,1.57,14.7,3.05
LEEKS,2408980,,1.18,8.24,0.0
"Leeks, (bulb and lower leaf-portion), raw",169246,,1.5,14.15,0.3
"Fennel bulb, raw",2709779,,1.24,7.3,0.2
"Fennel bulb, cooked",2709907,,1.42,8.32,3.22
"Fennel, bulb, raw",169385,,1.24,7.3,0.2
SHALLOTS,2436047,,0.0,13.33,0.0
"Shallots, raw",170499,,2.5,16.8,0.1
"Shallots, freeze-dried",170082,,12.3,80.7,0.5
COLLARD GREENS,2097145,,2.35,5.88,0.0
COLLARD GREENS,2409210,,2.35,5.88,0.0
COLLARD GREENS,2474908,,3.53,5.88,0.59
"SCALLION CREAM CHEESE, SCALLION",1124711,,7.14,7.14,28.57
"Onions, spring or scallions (includes tops and bulb), raw",170005,,1.83,7.34,0.19
"Green onion, (scallion), bulb and greens, root removed, raw",2727585,,0.66875,,
"Cabbage, red, raw",2709775,,1.24,6.79,0.21
"Cabbage, kimchi",170392,,1.1,2.4,0.5
"Cabbage, raw",169975,,1.28,5.8,0.1
BABY BOK CHOY,2178962,,1.77,1.77,0.0
BOK CHOY BLEND,2074785,,1.18,4.71,0.0
"Cabbage, bok choy, raw",2685572,20.259,1.02375,3.51495,0.2338
TURNIP GREENS,1602531,,1.77,7.08,0.0
TURNIP GREENS,2621263,,1.18,7.06,0.0
TURNIP GREENS,1855720,,0.78,3.12,0.0
"Watercress, raw",2709639,,2.3,1.29,0.1
"Watercress, cooked",2709640,,2.4,1.35,2.84
"Watercress, raw",170068,,2.3,1.29,0.1
"ESCAROLE, ENDIVE, RADICCHIO SANTA BARBARA",2425315,,1.18,3.53,0.0
"ROMAINE, RADICCHIO & ENDIVE ITALIAN BLEND, ROMAINE, RADICCHIO & ENDIVE",2406215,,1.18,3.53,0.0
"Endive, raw",168412,,1.25,3.35,0.2
"Radicchio, raw",2709613,,1.43,4.48,0.25
"Radicchio, raw",168564,,1.43,4.48,0.25
RADICCHIO,1663776,,2.0,4.0,0.0
BUTTERNUT SQUASH,477450,,1.18,11.76,0.0
BUTTERNUT SQUASH,2068785,,1.18,11.76,0.0
BUTTERNUT SQUASH,2410775,,1.18,11.76,0.0
"Spaghetti squash, cooked",2710001,,0.65,6.26,2.8
SPAGHETTI SQUASH,2421967,,1.18,7.06,0.76
SPAGHETTI SQUASH,1605880,,0.65,6.45,0.42
ACORN SQUASH,2134133,,1.18,10.59,0.0
"Squash, winter, acorn, raw",168472,,0.8,10.42,0.1
ACORN SQUASH,2401381,,1.18,10.59,0.0
"Spaghetti squash, cooked",2710001,,0.65,6.26,2.8
ORGANIC DELICATA SQUASH,2413851,,0.71,8.57,
DELICATA SQUASH,2401382,,1.18,10.59,0.0
"Eggplant, pickled",2710081,,0.81,9.74,0.16
Eggplant dip,2710049,,4.8,8.15,15.0
"Eggplant, pickled",169892,,0.9,9.77,0.7
OKRA,475597,,3.0,8.0,0.0
OKRA,517428,,2.0,7.0,0.0
OKRA,579527,,2.41,7.23,0.0
"Kohlrabi, raw",2709788,,1.7,6.2,0.1
"Kohlrabi, cooked",2709934,,1.72,6.26,2.75
"Kohlrabi, raw",168424,,1.7,6.2,0.1
"Jicama, raw",2709787,,0.72,8.82,0.09
"Yambean (jicama), cooked, boiled, drained, with salt",169358,,0.72,8.23,0.09
"Yambean (jicama), raw",170073,,0.72,8.82,0.09
Macadamia nuts,2707503,,7.79,12.8,76.1
MACADAMIA NUTS,482079,,6.67,40.0,46.67
MACADAMIA NUTS,2073953,,8.77,14.04,75.44
Pine nuts,2707526,,13.7,13.1,68.4
PINE NUTS,2429855,,14.29,14.29,67.86
PINE NUTS,2073946,,12.28,19.3,61.4
"Radishes, pickled",2710099,,0.56,7.68,0.1
Radish,2709803,,0.68,3.4,0.1
"Radishes, raw",169276,,0.68,3.4,0.1
FENNEL SEEDS,1663078,,0.0,0.0,0.0
FENNEL SEEDS,1484593,,0.0,0.0,0.0
FENNEL SEEDS,1664121,,0.0,0.0,0.0
COCONUT FLAKES,1935014,,6.67,23.33,64.53
COCONUT FLAKES,573164,,0.0,53.33,23.33
COCONUT FLAKES,2150869,,6.67,23.33,63.33
Chestnuts,2707499,,3.17,53.0,2.2
"Nuts, chestnuts, chinese, dried",170165,,6.82,79.76,1.81
"Flour, chestnut",2515377,384.672,5.28675,80.45025,4.636
POPPY SEEDS,2093508,,17.24,24.14,44.83
POPPY SEEDS,2059254,,16.67,26.67,43.33
POPPY SEEDS,384424,,0.0,0.0,0.0
"Nectarine, raw",2709245,,1.06,9.18,0.28
"Nectarines, raw",169914,,1.06,10.55,0.32
"Seeds, breadfruit seeds, boiled",170145,,5.3,32.0,2.3
"Spices, cumin seed",170923,,17.81,44.24,22.27
"CUMIN SEEDS GRINDER REFILL, CUMIN SEEDS",2427784,,0.0,133.33,0.0
CORIANDER SEEDS,2670740,,0.0,0.0,0.0
CORIANDER SEEDS,1957400,,20.0,20.0,20.0
"Spices, coriander seed",170922,,12.37,54.99,17.77
Mustard,2710085,,4.25,5.3,3.38
MUSTARD SEEDS,1930147,,0.0,0.0,50.0
"Spices, mustard seed, ground",170929,,26.08,28.09,36.24
CARAWAY SEEDS,579075,,0.0,0.0,0.0
"Cheese, caraway",173413,,25.18,3.06,29.2
"Spices, caraway seed",170918,,19.77,49.9,14.59
Sesame oil,2710190,,0.0,0.0,100
SESAME OIL,2498419,,0.0,0.0,93.33
SESAME OIL,1585458,,0.0,0.0,92.0
Walnut oil,2710193,,0.0,0.0,100
WALNUT OIL,1857543,,0.0,0.0,93.33
WALNUT OIL,2569011,,0.0,0.0,93.33
HEMP OIL,2284233,,0.0,0.0,100.0
HEMP OIL,2284226,,0.0,0.0,100.0
HEMP OIL,2096517,,0.0,0.0,93.33
FLAXSEED OIL,2157118,,0.0,0.0,102.94
Flaxseed oil,2710185,,0.11,0.0,100
"Oil, flaxseed, contains added sliced flaxseed",171442,,0.37,0.39,99.01
"Seeds, breadfruit seeds, boiled",170145,,5.3,32.0,2.3
"SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA",2069597,,16.67,50.0,33.33
ORGANIC BLACK SEEDS ANCIENT SUPER SEED NIGELLA SATIVA,2428753,,0.0,50.0,16.67
GRAPESEED OIL,2285119,,0.0,0.0,93.33
GRAPESEED OIL,2435436,,0.0,0.0,93.33
GRAPESEED OIL,577578,,0.0,0.0,93.33
Sunflower oil,2710192,,0.0,0.0,100
SUNFLOWER OIL,2072898,,0.0,0.0,86.67
SUNFLOWER OIL,2097568,,0.0,0.0,93.33
Safflower oil,2710189,,0.0,0.0,100
SAFFLOWER OIL,2072141,,0.0,0.0,100.0
SAFFLOWER OIL,2167495,,0.0,0.0,93.33
Canola oil,2710188,,0.0,0.0,100
CANOLA OIL,1855266,,0.0,0.0,100.0
CANOLA OIL,2427509,,0.0,0.0,0.0
Tahini,2707587,,19.7,14.2,62.4
TAHINI,2157503,,,2.54,62.0
TAHINI,2404089,,21.43,10.71,64.29
COCONUT CREAM,2427266,,2.22,3.33,22.22
COCONUT CREAM,2390563,,0.0,3.33,18.33
COCONUT CREAM,2085567,,2.5,5.0,20.0
"Seeds, sunflower seed butter, without salt",170155,,17.28,23.32,55.2
SUNFLOWER BUTTER,2612644,,21.88,21.88,53.12
SUNFLOWER BUTTER,2303774,,18.18,24.24,51.52
Almond butter,2707533,,20.7,21.1,52.7
ALMOND BUTTER,1628145,,21.21,24.24,48.48
ALMOND BUTTER,2062515,,23.33,20.0,53.33
KOMBUCHA,2643213,,0.0,4.23,0.0
KOMBUCHA,516534,,1.13,3.01,0.0
KOMBUCHA,434355,,0.44,4.41,0.0
Hazelnuts,2707502,,15.0,16.7,60.8
HAZELNUT BUTTER,2061414,,17.86,28.57,50.0
"Oil, hazelnut",171427,,0.0,0.0,100.0
Macadamia nuts,2707503,,7.79,12.8,76.1
"Nuts, macadamia nuts, raw",170178,,7.91,13.82,75.77
"Nuts, macadamia nuts, raw",2515378,711.89,7.7857,24.0943,64.93
"Pork, bones",2705897,,26.2,0.0,13.8
BONE BROTH,1897026,,2.64,4.41,2.64
BONE BROTH,1954906,,4.17,2.08,0.21
COCONUT WATER,2658917,,0.0,4.58,0.0
COCONUT WATER,2679122,,0.0,4.17,0.0
COCONUT WATER,2377356,,0.0,,0.0
GREEN TEA,1852241,,0.0,0.0,0.0
GREEN TEA,1810668,,0.0,0.0,0.0
GREEN TEA,2048695,,0.0,0.0,0.0
BLACK TEA,2103358,,0.0,0.0,0.0
BLACK TEA,2283974,,0.0,0.0,0.0
BLACK TEA,2435252,,0.0,8.44,0.0
VEGETABLE BROTH,2076913,,0.0,1.25,0.0
VEGETABLE BROTH,2114652,,0.0,1.22,0.0
VEGETABLE BROTH,497207,,0.0,0.83,0.0
HERBAL TEA,398172,,0.0,0.0,0.0
HERBAL TEA,428155,,0.0,0.0,0.0
HERBAL TEA,469756,,0.0,0.0,0.0
"RAW HONEY + MATCHA, MATCHA",718136,,0.0,80.95,0.0
"COCONUT WATER WITH MATCHA, MATCHA",2408665,,0.0,5.0,0.0
"MATCHA DONUTS, MATCHA",2670285,,9.09,22.73,54.55
"Coffee and chicory, brewed",2710470,,0.12,0.0,0.02
"Coffee, brewed",2710375,,0.12,0.0,0.02
"Coffee, brewed, decaffeinated",2710452,,0.1,0.0,0.0
Energy Drink,2710756,,0.46,10.2,0.0
ENERGY DRINK,2462614,,0.0,1.27,0.0
ENERGY DRINK,2365144,,0.0,1.27,0.0
"Coffee, espresso, decaffeinated",2710379,,0.1,1.69,0.18
"Coffee, espresso",2710378,,0.12,1.67,0.18
"Beverages, coffee, brewed, espresso, restaurant-prepared",171891,,0.12,1.67,0.18
"Fluid replacement, electrolyte solution",2710775,,0.0,2.45,0.0
"Nutritional drink or shake, ready-to-drink (Boost)",2710714,,4.22,17.3,1.69
"Fluid replacement, electrolyte solution (include PEDIALYTE)",169883,,0.0,2.45,0.0
BALSAMIC VINEGAR,507699,,0.0,73.33,0.0
BALSAMIC VINEGAR,2119453,,0.0,20.0,0.0
BALSAMIC VINEGAR,2175314,,0.0,60.0,0.0
APPLE CIDER VINEGAR,1909370,,0.0,0.0,0.0
APPLE CIDER VINEGAR,1908692,,0.0,0.0,0.0
APPLE CIDER VINEGAR,1940939,,0.0,0.0,0.0
RICE VINEGAR,2288128,,1.33,5.33,0.0
RICE VINEGAR,2158088,,0.0,0.0,0.0
RICE VINEGAR,2083928,,0.0,0.0,0.0
TAMARI,2439966,,20.0,20.0,0.0
TAMARI,2082694,,0.0,6.67,0.0
TAMARI,2580937,,11.11,5.56,0.0
Fish sauce,2706457,,5.06,3.64,0.01
FISH SAUCE,2066343,,6.67,6.67,0.0
FISH SAUCE,1908663,,0.0,0.0,0.0
MISO,1864430,,8.33,25.0,8.33
Miso,2707439,,12.8,25.4,6.01
Miso,172442,,12.79,25.37,6.01
Soy sauce,2707442,,8.14,4.93,0.57
SOY SAUCE,2288941,,13.33,6.67,0.0
SOY SAUCE,1883847,,10.0,0.0,0.0
"HARISSA PASTE, HARISSA",2546030,,0.0,16.67,0.0
HARISSA,2093082,,0.0,0.0,
"HARISSA HOMMUS, HARISSA",2391237,,7.14,17.86,17.86
SRIRACHA,2495517,,14.29,17.86,21.43
SRIRACHA,1937152,,0.0,7.14,71.43
SRIRACHA,2020566,,0.8,7.2,2.8
Oyster sauce,2707150,,1.35,10.9,0.25
OYSTER SAUCE,1928263,,0.0,18.75,0.0
"Sauce, oyster, ready-to-serve",174529,,1.35,10.92,0.25
SALSA,2085620,,0.0,6.67,46.67
SALSA,1909593,,2.94,8.82,8.82
SALSA,2374528,,0.0,7.14,3.57
HOT SAUCE,2075481,,0.0,0.0,0.0
HOT SAUCE,1952795,,0.0,0.0,0.0
HOT SAUCE,2069746,,0.0,0.0,0.0
PESTO,1940932,,6.67,13.33,60.0
PESTO,2034005,,8.33,5.0,41.67
PESTO,1972571,,1.72,8.62,32.76
GUACAMOLE,2642367,,0.0,6.67,16.67
GUACAMOLE,1922901,,3.57,10.71,7.14
GUACAMOLE,2036598,,3.33,10.0,13.33
HUMMUS,2422987,,10.71,25.0,12.5
HUMMUS,1886359,,7.14,21.43,28.57
HUMMUS,1862875,,6.67,10.0,16.67
TZATZIKI,2071295,,3.12,9.38,12.5
TZATZIKI,2023348,,3.57,3.57,7.14
TZATZIKI,2671033,,3.33,3.33,3.33
COCONUT SUGAR,2437663,,0.0,100.0,0.0
COCONUT SUGAR,2130295,,0.0,100.0,0.0
COCONUT SUGAR,2673988,,0.0,100.0,0.0
Ranch dressing,2710212,,1.32,5.9,44.5
RANCH DRESSING,2100941,,0.0,20.0,0.0
RANCH DRESSING,2097819,,0.0,6.67,40.0
DATE SUGAR,2284580,,0.0,0.0,0.0
DATE SUGAR,2029576,,0.0,88.89,0.0
DATE SUGAR,2181754,,0.0,100.0,0.0
BROWN SUGAR,1630185,,0.0,100.0,0.0
BROWN SUGAR,2019051,,0.0,100.0,0.0
BROWN SUGAR,2096454,,0.0,100.0,0.0
Molasses,2710283,,0.0,74.7,0.1
MOLASSES,1983504,,0.0,106.67,0.0
Molasses,168820,,0.0,74.73,0.1
"Clementine, raw",2709164,,0.81,13.3,0.31
"Egg, yolk, raw, frozen, sugared, pasteurized",173422,,13.87,10.95,22.82
"Sugar-apples, (sweetsop), raw",168175,,2.06,23.64,0.29
Corn syrup,2710274,,0.0,76.8,0.2
"Syrups, corn, light",168837,,0.0,76.79,0.2
"Syrups, corn, dark",168836,,0.0,77.59,0.0
Corn syrup,2710274,,0.0,76.8,0.2
Blueberry syrup,2710275,,0.0,85.1,0.0
Chocolate syrup,2710276,,0.0,67.2,0.0
"YACON SYRUP, YACON",2413725,,0.0,220.0,0.0
"YACON SYRUP, YACON",1064133,,0.0,100.0,0.0
"YACON PREMIUM SYRUP, YACON",2266151,,0.0,80.0,0.0
"ERYTHRITOL ORGANIC SUGAR SUBSTITUTE, ERYTHRITOL",2668940,,0.0,100.0,0.0
"ERYTHRITOL NATURAL SWEETENER, ERYTHRITOL",2392047,,0.0,100.0,0.0
"ERYTHRITOL ZERO CALORIE SWEETENER, ERYTHRITOL",2386683,,0.0,100.0,0.0
"SUPREME STEVIA WITH XYLITOL, SUPREME WITH XYLITOL",2654926,,0.0,0.0,0.0
"XYLITOL SWEETENER PACKETS, XYLITOL",2372514,,0.0,98.04,0.0
XYLITOL,2667320,,0.0,100.0,0.0
SUCRALOSE,1940487,,0.0,100.0,0.0
SUCRALOSE,2067334,,0.0,100.0,0.0
"Guava nectar, with sucralose, canned",168210,,0.3,13.3,0.07
"Sugar substitute, aspartame, powder",2710271,,2.17,89.1,0.0
"Beverages, cocoa mix, with aspartame, powder, prepared with water",175092,,1.21,5.61,0.23
"Sweeteners, tabletop, aspartame, EQUAL, packets",169657,,2.17,89.08,0.0
